"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"S","Duron Harmon",2200,"PHI@NE 02/04/2018 06:30PM ET",3.056,"NE"
"LB","Dannell Ellerbe",2200,"PHI@NE 02/04/2018 06:30PM ET",2.250,"PHI"
"CB","Rasul Douglas",2200,"PHI@NE 02/04/2018 06:30PM ET",3.281,"PHI"
"LB","Najee Goode",2100,"PHI@NE 02/04/2018 06:30PM ET",1.250,"PHI"
"LB","Nicholas Grigsby",2000,"PHI@NE 02/04/2018 06:30PM ET",0.786,"NE"
"LB","Joe Cardona",2000,"PHI@NE 02/04/2018 06:30PM ET",0.167,"NE"
"LB","David Harris",2000,"PHI@NE 02/04/2018 06:30PM ET",2.500,"NE"
"CB","Johnson Bademosi",2000,"PHI@NE 02/04/2018 06:30PM ET",1.647,"NE"
"S","Brandon King",2000,"PHI@NE 02/04/2018 06:30PM ET",1.200,"NE"
"S","Jordan Richards",2000,"PHI@NE 02/04/2018 06:30PM ET",1.694,"NE"
"DE","Steven Means",2000,"PHI@NE 02/04/2018 06:30PM ET",1.333,"PHI"
"DT","Elijah Qualls",2000,"PHI@NE 02/04/2018 06:30PM ET",0.583,"PHI"
"DT","Beau Allen",2000,"PHI@NE 02/04/2018 06:30PM ET",1.294,"PHI"
"DT","Destiny Vaeao",2000,"PHI@NE 02/04/2018 06:30PM ET",0.917,"PHI"
"LB","Kamu Grugier-Hill",2000,"PHI@NE 02/04/2018 06:30PM ET",1.861,"PHI"
"LB","Nathan Gerry",2000,"PHI@NE 02/04/2018 06:30PM ET",0.458,"PHI"
"LB","Bryan Braman",2000,"PHI@NE 02/04/2018 06:30PM ET",0.000,"PHI"
"LB","Rick Lovato",2000,"PHI@NE 02/04/2018 06:30PM ET",0.167,"PHI"
"CB","Sidney Jones",2000,"PHI@NE 02/04/2018 06:30PM ET",2.000,"PHI"
"S","Jaylen Watkins",2000,"PHI@NE 02/04/2018 06:30PM ET",1.179,"PHI"
